model,cutoff_label,cutoff,removed_n,retained_n,target_term,b,SE,z,p,OR,LR,LR_df,LR_p
left_main,Full sample,NA,0,593,c_left_hpc_vs,0.17083371027388553,0.07699382522453833,2.218797543513138,0.026500501220034434,1.1862934642036933,4.94635622004057,1,0.02614571836589759
left_main,max |DFBETAS| > .20,0.2,4,589,c_left_hpc_vs,0.18370439604278593,0.07797922967768724,2.355811884806944,0.01848227462208591,1.2016605549742787,5.5707165955152504,1,0.018263285014118533
left_main,max |DFBETAS| > 2/sqrt(N) = 0.0821,0.08213015623531818,61,532,c_left_hpc_vs,0.24037278130546955,0.08988413723035424,2.6742514164589952,0.007489627883614553,1.2717231365803578,7.201389001624648,1,0.007284717629317465
right_main,Full sample,NA,0,593,c_right_hpc_vs,0.02186343258109545,0.07618884086627245,0.28696371190986364,0.7741401058630201,1.0221041888076285,0.0823713284241876,1,0.7741092142389968
right_main,max |DFBETAS| > .20,0.2,4,589,c_right_hpc_vs,0.03608207146408624,0.07745930952918935,0.46581968885856473,0.6413445707714103,1.0367409298454089,0.21703249496067656,1,0.6413103706138776
right_main,max |DFBETAS| > 2/sqrt(N) = 0.0821,0.08213015623531818,62,531,c_right_hpc_vs,0.008558061520824346,0.08821467561478968,0.0970140337895154,0.9227152496682425,1.0085947864192102,0.009410890243771064,1,0.9227186571227167
left_interaction,Full sample,NA,0,593,c_left_hpc_vs:Sex1,0.015045497989313178,0.07761166221271208,0.19385614945441618,0.8462885199418646,1.0151592512697765,0.03756506148783956,1,0.8463191107026428
left_interaction,max |DFBETAS| > .20,0.2,3,590,c_left_hpc_vs:Sex1,2.7326232732856483e-4,0.07858069486229166,0.0034774740514504484,0.9972253827359168,1.0002732996668795,1.2060966355420533e-5,1,0.997229040096506
left_interaction,max |DFBETAS| > 2/sqrt(N) = 0.0821,0.08213015623531818,104,489,c_left_hpc_vs:Sex1,-0.002781866111875118,0.09670703835380969,-0.028765911553381047,0.9770512882621856,0.9972219996921099,8.27593303483809e-4,1,0.9770496852749384
right_interaction,Full sample,NA,0,593,c_right_hpc_vs:Sex1,0.16755015108934407,0.07771659331975056,2.155912192393585,0.031090522247729954,1.1824045875761073,4.650582366872413,1,0.031043014052782602
right_interaction,max |DFBETAS| > .20,0.2,4,589,c_right_hpc_vs:Sex1,0.17804888614688458,0.08008078296321809,2.223365950713347,0.026191133719219384,1.1948837330687092,4.960440694248291,1,0.025933597381663034
right_interaction,max |DFBETAS| > 2/sqrt(N) = 0.0821,0.08213015623531818,103,490,c_right_hpc_vs:Sex1,0.30539288262463093,0.09376030554848502,3.257166034582803,0.0011253058948850166,1.357158102113876,10.69734418045914,1,0.0010728944097943595
