model,row_id,Subject,deleted_position,term,dfbetas,abs_dfbetas
left_interaction,345,133019,1,c_ICV,0.06234848256958292,0.06234848256958292
left_interaction,345,133019,1,c_left_hpc_vs,-0.0844632191475429,0.0844632191475429
left_interaction,345,133019,1,Sex1,0.058979765758081566,0.058979765758081566
left_interaction,345,133019,1,c_left_hpc_vs:Sex1,-0.08554543566482031,0.08554543566482031
left_interaction,346,295146,2,c_ICV,-3.4442003762237436e-4,3.4442003762237436e-4
left_interaction,346,295146,2,c_left_hpc_vs,-0.06795422801039759,0.06795422801039759
left_interaction,346,295146,2,Sex1,0.018353755869779408,0.018353755869779408
left_interaction,346,295146,2,c_left_hpc_vs:Sex1,-0.06858366031992878,0.06858366031992878
left_interaction,347,725751,3,c_ICV,0.0036046452670172465,0.0036046452670172465
left_interaction,347,725751,3,c_left_hpc_vs,0.07204640017967288,0.07204640017967288
left_interaction,347,725751,3,Sex1,0.03939141351849069,0.03939141351849069
left_interaction,347,725751,3,c_left_hpc_vs:Sex1,-0.07240299244187917,0.07240299244187917
left_interaction,348,123521,4,c_ICV,0.012956067721069907,0.012956067721069907
left_interaction,348,123521,4,c_left_hpc_vs,-0.12734160045687534,0.12734160045687534
left_interaction,348,123521,4,Sex1,-0.0581519315330824,0.0581519315330824
left_interaction,348,123521,4,c_left_hpc_vs:Sex1,0.1291859789525547,0.1291859789525547
left_interaction,349,138837,5,c_ICV,0.020454050212676524,0.020454050212676524
left_interaction,349,138837,5,c_left_hpc_vs,0.06969581326379395,0.06969581326379395
left_interaction,349,138837,5,Sex1,0.05097417165143073,0.05097417165143073
left_interaction,349,138837,5,c_left_hpc_vs:Sex1,-0.07062517210595948,0.07062517210595948
left_interaction,350,389357,6,c_ICV,-0.016524984684875666,0.016524984684875666
left_interaction,350,389357,6,c_left_hpc_vs,-0.060677904652849945,0.060677904652849945
left_interaction,350,389357,6,Sex1,0.008149477922380027,0.008149477922380027
left_interaction,350,389357,6,c_left_hpc_vs:Sex1,-0.06119716983883925,0.06119716983883925
left_interaction,351,784565,7,c_ICV,0.07329528656399709,0.07329528656399709
left_interaction,351,784565,7,c_left_hpc_vs,-0.06718969903760029,0.06718969903760029
left_interaction,351,784565,7,Sex1,0.06786002103045172,0.06786002103045172
left_interaction,351,784565,7,c_left_hpc_vs:Sex1,-0.06839988673696211,0.06839988673696211
left_interaction,352,176037,8,c_ICV,0.0216661187874684,0.0216661187874684
left_interaction,352,176037,8,c_left_hpc_vs,0.09318577271212763,0.09318577271212763
left_interaction,352,176037,8,Sex1,-0.018088018310636157,0.018088018310636157
left_interaction,352,176037,8,c_left_hpc_vs:Sex1,0.0944557038773067,0.0944557038773067
left_interaction,353,497865,9,c_ICV,-0.0022769707424391823,0.0022769707424391823
left_interaction,353,497865,9,c_left_hpc_vs,-0.12603520645235192,0.12603520645235192
left_interaction,353,497865,9,Sex1,-0.06693544393176151,0.06693544393176151
left_interaction,353,497865,9,c_left_hpc_vs:Sex1,0.12838827932871857,0.12838827932871857
left_interaction,354,136732,10,c_ICV,-0.010016006697495899,0.010016006697495899
left_interaction,354,136732,10,c_left_hpc_vs,0.12077521245442388,0.12077521245442388
left_interaction,354,136732,10,Sex1,-0.06070291201794238,0.06070291201794238
left_interaction,354,136732,10,c_left_hpc_vs:Sex1,0.11571513564790561,0.11571513564790561
left_interaction,355,192540,11,c_ICV,0.010316877690939287,0.010316877690939287
left_interaction,355,192540,11,c_left_hpc_vs,0.040025410441606214,0.040025410441606214
left_interaction,355,192540,11,Sex1,-0.0012860480368486298,0.0012860480368486298
left_interaction,355,192540,11,c_left_hpc_vs:Sex1,0.04237248734933375,0.04237248734933375
left_interaction,357,952863,12,c_ICV,0.04671901581979407,0.04671901581979407
left_interaction,357,952863,12,c_left_hpc_vs,0.10220690033870762,0.10220690033870762
left_interaction,357,952863,12,Sex1,-0.02643132228019624,0.02643132228019624
left_interaction,357,952863,12,c_left_hpc_vs:Sex1,0.09677833885977745,0.09677833885977745
