model,row_id,Subject,deleted_position,term,dfbetas,abs_dfbetas
right_interaction,345,133019,1,c_ICV,0.07210618421371925,0.07210618421371925
right_interaction,345,133019,1,c_right_hpc_vs,0.06961367939283267,0.06961367939283267
right_interaction,345,133019,1,Sex1,0.07697483852443465,0.07697483852443465
right_interaction,345,133019,1,c_right_hpc_vs:Sex1,0.07702071569390978,0.07702071569390978
right_interaction,346,295146,2,c_ICV,-4.752540086710584e-4,4.752540086710584e-4
right_interaction,346,295146,2,c_right_hpc_vs,-0.040321970977718946,0.040321970977718946
right_interaction,346,295146,2,Sex1,0.021875999339553084,0.021875999339553084
right_interaction,346,295146,2,c_right_hpc_vs:Sex1,-0.03948273290285005,0.03948273290285005
right_interaction,347,725751,3,c_ICV,0.001279655494874632,0.001279655494874632
right_interaction,347,725751,3,c_right_hpc_vs,0.003208630272662613,0.003208630272662613
right_interaction,347,725751,3,Sex1,0.023637324245805075,0.023637324245805075
right_interaction,347,725751,3,c_right_hpc_vs:Sex1,-0.004462196641369682,0.004462196641369682
right_interaction,348,123521,4,c_ICV,0.02522534786322962,0.02522534786322962
right_interaction,348,123521,4,c_right_hpc_vs,-0.1546702295732078,0.1546702295732078
right_interaction,348,123521,4,Sex1,-0.06494563080499587,0.06494563080499587
right_interaction,348,123521,4,c_right_hpc_vs:Sex1,0.1569273992410543,0.1569273992410543
right_interaction,349,138837,5,c_ICV,0.00980677142813134,0.00980677142813134
right_interaction,349,138837,5,c_right_hpc_vs,0.014010566465262848,0.014010566465262848
right_interaction,349,138837,5,Sex1,0.029666625197463128,0.029666625197463128
right_interaction,349,138837,5,c_right_hpc_vs:Sex1,-0.015819050167457133,0.015819050167457133
right_interaction,350,389357,6,c_ICV,-0.025186271656428335,0.025186271656428335
right_interaction,350,389357,6,c_right_hpc_vs,0.024881146854551558,0.024881146854551558
right_interaction,350,389357,6,Sex1,0.010222212750541837,0.010222212750541837
right_interaction,350,389357,6,c_right_hpc_vs:Sex1,0.024286545888876295,0.024286545888876295
right_interaction,351,784565,7,c_ICV,0.08198248776766355,0.08198248776766355
right_interaction,351,784565,7,c_right_hpc_vs,0.03298759596907338,0.03298759596907338
right_interaction,351,784565,7,Sex1,0.08137057813209282,0.08137057813209282
right_interaction,351,784565,7,c_right_hpc_vs:Sex1,0.04091040892022681,0.04091040892022681
right_interaction,352,176037,8,c_ICV,0.023014964595743793,0.023014964595743793
right_interaction,352,176037,8,c_right_hpc_vs,-0.033953171417177075,0.033953171417177075
right_interaction,352,176037,8,Sex1,-0.0132017869945329,0.0132017869945329
right_interaction,352,176037,8,c_right_hpc_vs:Sex1,-0.03690862246630248,0.03690862246630248
right_interaction,353,497865,9,c_ICV,-0.008355265970938922,0.008355265970938922
right_interaction,353,497865,9,c_right_hpc_vs,0.100608611912534,0.100608611912534
right_interaction,353,497865,9,Sex1,-0.04865447322185364,0.04865447322185364
right_interaction,353,497865,9,c_right_hpc_vs:Sex1,-0.09776829669897451,0.09776829669897451
right_interaction,354,136732,10,c_ICV,-0.003026707974659879,0.003026707974659879
right_interaction,354,136732,10,c_right_hpc_vs,-0.030400905828026348,0.030400905828026348
right_interaction,354,136732,10,Sex1,-0.05921547483195064,0.05921547483195064
right_interaction,354,136732,10,c_right_hpc_vs:Sex1,-0.023123314450825737,0.023123314450825737
right_interaction,355,192540,11,c_ICV,0.006179531102962957,0.006179531102962957
right_interaction,355,192540,11,c_right_hpc_vs,5.932128628319917e-4,5.932128628319917e-4
right_interaction,355,192540,11,Sex1,0.001171835302654749,0.001171835302654749
right_interaction,355,192540,11,c_right_hpc_vs:Sex1,-0.0018502547491170303,0.0018502547491170303
right_interaction,357,952863,12,c_ICV,0.04469764001534359,0.04469764001534359
right_interaction,357,952863,12,c_right_hpc_vs,0.07995036539466446,0.07995036539466446
right_interaction,357,952863,12,Sex1,-0.030123366318068334,0.030123366318068334
right_interaction,357,952863,12,c_right_hpc_vs:Sex1,0.09189111523911328,0.09189111523911328
right_interaction,358,567052,13,c_ICV,0.011142128993893233,0.011142128993893233
right_interaction,358,567052,13,c_right_hpc_vs,-0.027884585173941014,0.027884585173941014
right_interaction,358,567052,13,Sex1,-0.01253717670220595,0.01253717670220595
right_interaction,358,567052,13,c_right_hpc_vs:Sex1,0.024381906607996745,0.024381906607996745
right_interaction,359,130619,14,c_ICV,0.003739071500328486,0.003739071500328486
right_interaction,359,130619,14,c_right_hpc_vs,6.751783833558644e-4,6.751783833558644e-4
right_interaction,359,130619,14,Sex1,0.02773788313995899,0.02773788313995899
right_interaction,359,130619,14,c_right_hpc_vs:Sex1,0.002169771529184591,0.002169771529184591
right_interaction,360,210011,15,c_ICV,-0.005021030389958868,0.005021030389958868
right_interaction,360,210011,15,c_right_hpc_vs,0.07374167209985961,0.07374167209985961
right_interaction,360,210011,15,Sex1,0.0425265922703806,0.0425265922703806
right_interaction,360,210011,15,c_right_hpc_vs:Sex1,-0.07217028211780287,0.07217028211780287
right_interaction,362,436239,16,c_ICV,0.04564219929781921,0.04564219929781921
right_interaction,362,436239,16,c_right_hpc_vs,-0.011604118858819165,0.011604118858819165
right_interaction,362,436239,16,Sex1,0.054734047446432336,0.054734047446432336
right_interaction,362,436239,16,c_right_hpc_vs:Sex1,-0.006887819599770455,0.006887819599770455
right_interaction,363,896879,17,c_ICV,0.02835226780951323,0.02835226780951323
right_interaction,363,896879,17,c_right_hpc_vs,0.047685730094061275,0.047685730094061275
right_interaction,363,896879,17,Sex1,0.06250070066612261,0.06250070066612261
right_interaction,363,896879,17,c_right_hpc_vs:Sex1,-0.047906471132383256,0.047906471132383256
right_interaction,364,146432,18,c_ICV,0.12324266719716966,0.12324266719716966
right_interaction,364,146432,18,c_right_hpc_vs,-0.03865423014823419,0.03865423014823419
right_interaction,364,146432,18,Sex1,0.010620025044998926,0.010620025044998926
right_interaction,364,146432,18,c_right_hpc_vs:Sex1,0.034679320595089165,0.034679320595089165
right_interaction,365,190031,19,c_ICV,0.04016347874626575,0.04016347874626575
right_interaction,365,190031,19,c_right_hpc_vs,-0.012839205437792874,0.012839205437792874
